17:05:32.012 INFO  [] Mapped "{[/api/docs/bookmarks/change_bookmark_state],methods=[POST]}" onto public com.dataparse.server.service.visualization.bookmark_state.state.BookmarkStateHistoryWrapper com.dataparse.server.controllers.BookmarksController.getBookmarkState(com.dataparse.server.controllers.api.table.GetBookmarkRequest) 
17:05:32.013 INFO  [] Mapped "{[/api/docs/bookmarks/{id}/undo],methods=[POST]}" onto public com.dataparse.server.service.visualization.bookmark_state.state.BookmarkStateHistoryWrapper com.dataparse.server.controllers.BookmarksController.undo(com.dataparse.server.controllers.api.table.GetBookmarkRequest) 
17:05:32.014 INFO  [] Mapped "{[/api/docs/bookmarks/{id}/mapping],methods=[GET]}" onto public java.util.Map com.dataparse.server.controllers.BookmarksController.getIndexMapping(java.lang.Long) 
17:05:32.014 INFO  [] Mapped "{[/api/docs/bookmarks/all],methods=[GET]}" onto public java.util.List<com.dataparse.server.service.schema.TableBookmark> com.dataparse.server.controllers.BookmarksController.getAllBookmarks(java.lang.Long,java.lang.Long,java.util.UUID,boolean) 
17:05:32.015 INFO  [] Mapped "{[/api/docs/bookmarks/{id}/redo],methods=[POST]}" onto public com.dataparse.server.service.visualization.bookmark_state.state.BookmarkStateHistoryWrapper com.dataparse.server.controllers.BookmarksController.redo(com.dataparse.server.controllers.api.table.GetBookmarkRequest) 
17:05:32.015 INFO  [] Mapped "{[/api/docs/bookmarks/state],methods=[GET]}" onto public com.dataparse.server.service.schema.TableBookmark com.dataparse.server.controllers.BookmarksController.getTableBookmark(java.lang.Long,java.util.UUID,java.lang.Long) 
17:05:32.015 INFO  [] Mapped "{[/api/docs/bookmarks/move],methods=[POST]}" onto public void com.dataparse.server.controllers.BookmarksController.moveBookmark(com.dataparse.server.controllers.api.table.MoveTableBookmarkRequest) 
17:05:32.026 INFO  [] Mapped "{[/api/docs],methods=[POST]}" onto public com.dataparse.server.service.docs.Datadoc com.dataparse.server.controllers.DatadocsController.createDatadoc(com.dataparse.server.controllers.api.table.CreateDatadocRequest) 
17:05:32.027 INFO  [] Mapped "{[/api/docs/{id}],methods=[POST]}" onto public void com.dataparse.server.controllers.DatadocsController.updateDatadoc(java.lang.Long,com.dataparse.server.controllers.api.table.UpdateDatadocRequest) 
17:05:32.027 INFO  [] Mapped "{[/api/docs/{id}],methods=[DELETE]}" onto public void com.dataparse.server.controllers.DatadocsController.deleteDatadoc(java.lang.Long) 
17:05:32.027 INFO  [] Mapped "{[/api/docs/{id}/stats],methods=[GET]}" onto public com.dataparse.server.service.docs.DatadocStatistics com.dataparse.server.controllers.DatadocsController.getDatadocsStats(java.lang.Long) 
17:05:32.028 INFO  [] Mapped "{[/embed/{uuid}],methods=[GET]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.dataparse.server.controllers.EmbedController.getEmbedSettings(java.lang.String) 
17:05:32.042 INFO  [] Mapped "{[/api/export/delete],methods=[POST],produces=[text/plain]}" onto public java.lang.String com.dataparse.server.controllers.ExportController.remove(com.dataparse.server.controllers.api.flow.CancelRequest) 
17:05:32.042 INFO  [] Mapped "{[/api/export/cancel],methods=[POST],produces=[text/plain]}" onto public java.lang.String com.dataparse.server.controllers.ExportController.cancel(com.dataparse.server.controllers.api.flow.CancelRequest) 
17:05:32.044 INFO  [] Mapped "{[/api/export/pending],methods=[GET]}" onto public java.util.List<com.dataparse.server.service.tasks.TaskInfo> com.dataparse.server.controllers.ExportController.getPendingExports(java.lang.Long) 
17:05:32.044 INFO  [] Mapped "{[/api/export/download],methods=[GET]}" onto public void com.dataparse.server.controllers.ExportController.download(javax.servlet.http.HttpServletResponse,java.lang.String) 
17:05:32.045 INFO  [] Mapped "{[/api/export/prepare],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.dataparse.server.controllers.ExportController.prepareExport(com.dataparse.server.service.export.ExportTaskRequest) 
17:05:32.072 INFO  [] Mapped "{[/api/files/get_file/{shareId}],methods=[GET]}" onto public com.dataparse.server.controllers.api.file.GetDatadocIdResponse com.dataparse.server.controllers.FileController.getFile(java.util.UUID) throws com.dataparse.server.controllers.AuthenticationController$NotFoundException 
17:05:32.072 INFO  [] Mapped "{[/api/files/get_file],methods=[POST]}" onto public com.dataparse.server.service.files.AbstractFile com.dataparse.server.controllers.FileController.getFile(com.dataparse.server.controllers.api.file.GetFileRequest) 
17:05:32.073 INFO  [] Mapped "{[/api/files/create-from-storage],methods=[POST]}" onto public com.dataparse.server.service.files.File com.dataparse.server.controllers.FileController.createFileFromStorage(com.dataparse.server.controllers.api.file.SaveFileResponse) throws java.lang.Exception 
17:05:32.073 INFO  [] Mapped "{[/api/files/related_source_data/{sourceId}],methods=[GET]}" onto public java.util.List<com.dataparse.server.controllers.api.file.RelatedDatabaseSourceData> com.dataparse.server.controllers.FileController.getRelatedSourceData(java.lang.Long) 
17:05:32.073 INFO  [] Mapped "{[/api/files/archive/prepare],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.dataparse.server.controllers.FileController.prepareFileDownload(com.dataparse.server.controllers.api.file.PrepareDownloadRequest) 
17:05:32.074 INFO  [] Mapped "{[/api/files/refresh_tables],methods=[POST]}" onto public com.dataparse.server.service.files.AbstractFile com.dataparse.server.controllers.FileController.refreshDatabaseTables(com.dataparse.server.controllers.api.file.RefreshTablesRequest) 
17:05:32.074 INFO  [] Mapped "{[/api/files/delete_all_sources],methods=[DELETE]}" onto public java.lang.Boolean com.dataparse.server.controllers.FileController.deleteSourcesFiles() 
17:05:32.074 INFO  [] Mapped "{[/api/files/archive/pending],methods=[GET]}" onto public java.util.List<com.dataparse.server.service.tasks.TaskInfo> com.dataparse.server.controllers.FileController.getPendingDownloads() 
17:05:32.075 INFO  [] Mapped "{[/api/files/get_attached],methods=[POST]}" onto public java.util.Map<java.lang.Long, java.util.Collection<java.lang.Long>> com.dataparse.server.controllers.FileController.getFilesAttachedToIndexes(java.util.List<java.lang.Long>) 
17:05:32.075 INFO  [] Mapped "{[/api/files/create_remote_query],methods=[POST]}" onto public com.dataparse.server.service.upload.Upload com.dataparse.server.controllers.FileController.createQueryForRemoteLink(com.dataparse.server.controllers.api.file.CreateRemoteQueryRequest) 
17:05:32.075 INFO  [] Mapped "{[/api/files/update_remote_query],methods=[POST]}" onto public com.dataparse.server.service.upload.Upload com.dataparse.server.controllers.FileController.updateQueryForRemoteDataSource(com.dataparse.server.controllers.api.file.UpdateRemoteQueryRequest) 
17:05:32.075 INFO  [] Mapped "{[/api/files/upload/confirm],methods=[POST]}" onto public com.dataparse.server.controllers.api.file.ConfirmUploadResponse com.dataparse.server.controllers.FileController.confirmUpload(com.dataparse.server.controllers.api.file.ConfirmUploadRequest) 
17:05:32.076 INFO  [] Mapped "{[/api/files/upload/prepare],methods=[POST]}" onto public java.util.List<com.dataparse.server.controllers.api.file.PrepareUploadResponse> com.dataparse.server.controllers.FileController.prepareUpload(com.dataparse.server.controllers.api.file.PrepareUploadRequest) 
17:05:32.077 INFO  [] Mapped "{[/api/files/list_files],methods=[POST]}" onto public java.util.List<com.dataparse.server.service.files.AbstractFile> com.dataparse.server.controllers.FileController.getFiles(com.dataparse.server.controllers.api.file.ListFilesRequest) 
